"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",11,0,42168,2.6,20.493648
"2","All Fire","13100_41_62",0.0748626,"North-Central Interior Dry-Mesic Oak Forest and Woodland",10,0.870588235,57353,3.6,4293.5946978
"3","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",9,0.4,73614,4.6,160.6404708
"4","All Fire","13440_41",0.0120962,"Boreal Jack Pine-Black Spruce Forest",17,0.549019608,131,0,1.5846022
"5","All Fire","13622_41_50",0.0294152,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",4,0.498039216,183439,11.5,5395.8948728
"6","All Fire","13651_40_41_50",0.0046868,"Boreal White Spruce-Fir-Hardwood Forest - Inland",3,0.447058824,212328,13.3,995.1388704
"7","All Fire","13652_41",0.0019676,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",13,0.274509804,13960,0.9,27.467696
"8","All Fire","13653_41",0.013212,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",7,0.568627451,101681,6.4,1343.409372
"9","All Fire","13940_39_40_41",0.2072644,"North-Central Interior Oak Savanna",15,0.541176471,1702,0.1,352.7640088
"10","All Fire","13950_41_42_43_49_52",0.2013914,"North-Central Oak Barrens",16,0.690196078,1238,0.1,249.3225532
"11","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",18,0,775,0,176.691475
"12","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",6,0.392156863,132403,8.3,15652.815063
"13","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",19,0.615686275,84,0,24.5991984
"14","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",14,0.611764706,8090,0.5,40.170086
"15","All Fire","14710_41_50",0.0174338,"Central Interior and Appalachian Floodplain Systems",20,0.690196078,52,0,0.9065576
"16","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",8,0.960784314,96359,6,1646.6596792
"17","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",2,0.541176471,228324,14.3,2201.4543432
"18","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",21,1,0,0,0
"19","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",5,1,137956,8.6,137.818044
"20","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",12,0.419607843,18885,1.2,1066.080912
"21","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",11,0,42168,2.6,75.3373488
"22","All Transitions","13100_41_62",0.1116236,"North-Central Interior Dry-Mesic Oak Forest and Woodland",10,0.870588235,57353,3.6,6401.9483308
"23","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",9,0.4,73614,4.6,10487.197668
"24","All Transitions","13440_41",0.013075,"Boreal Jack Pine-Black Spruce Forest",17,0.549019608,131,0,1.712825
"25","All Transitions","13622_41_50",0.0303678,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",4,0.498039216,183439,11.5,5570.6388642
"26","All Transitions","13651_40_41_50",0.027585,"Boreal White Spruce-Fir-Hardwood Forest - Inland",3,0.447058824,212328,13.3,5857.06788
"27","All Transitions","13652_41",0.0194608,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",13,0.274509804,13960,0.9,271.672768
"28","All Transitions","13653_41",0.0279418,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",7,0.568627451,101681,6.4,2841.1501658
"29","All Transitions","13940_39_40_41",0.2104982,"North-Central Interior Oak Savanna",15,0.541176471,1702,0.1,358.2679364
"30","All Transitions","13950_41_42_43_49_52",0.2381444,"North-Central Oak Barrens",16,0.690196078,1238,0.1,294.8227672
"31","All Transitions","14071_41_50_51",0.228269,"Laurentian Pine-Oak Barrens",18,0,775,0,176.908475
"32","All Transitions","14072_41_50_51",0.1202254,"Laurentian Pine-Oak Barrens - Jack Pine",6,0.392156863,132403,8.3,15918.2036362
"33","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",19,0.615686275,84,0,25.8249936
"34","All Transitions","14440_41_50_51",0.1281268,"Eastern Boreal Floodplain",14,0.611764706,8090,0.5,1036.545812
"35","All Transitions","14710_41_50",0.2349752,"Central Interior and Appalachian Floodplain Systems",20,0.690196078,52,0,12.2187104
"36","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",8,0.960784314,96359,6,22239.2524922
"37","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",2,0.541176471,228324,14.3,5308.5786648
"38","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",21,1,0,0,0
"39","All Transitions","14810_41_50_51_63",0.0051708,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",5,1,137956,8.6,713.3428848
"40","All Transitions","14940_41_50_51",0.39658,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",12,0.419607843,18885,1.2,7489.4133
"41","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",11,0,42168,2.6,16.192512
"42","Alternative Succession","13100_41_62",0.0340798,"North-Central Interior Dry-Mesic Oak Forest and Woodland",10,0.870588235,57353,3.6,1954.5787694
"43","Alternative Succession","13651_40_41_50",0.0013688,"Boreal White Spruce-Fir-Hardwood Forest - Inland",3,0.447058824,212328,13.3,290.6345664
"44","Alternative Succession","13652_41",0.0016886,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",13,0.274509804,13960,0.9,23.572856
"45","Alternative Succession","13940_39_40_41",0.0012218,"North-Central Interior Oak Savanna",15,0.541176471,1702,0.1,2.0795036
"46","Alternative Succession","13950_41_42_43_49_52",0.0013398,"North-Central Oak Barrens",16,0.690196078,1238,0.1,1.6586724
"47","Alternative Succession","14071_41_50_51",0.00028,"Laurentian Pine-Oak Barrens",18,0,775,0,0.217
"48","Alternative Succession","14120_39_40_41_42_43_50_51",0.008124,"North-Central Interior Sand and Gravel Tallgrass Prairie",19,0.615686275,84,0,0.682416
"49","Alternative Succession","14940_41_50_51",0.012298,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",12,0.419607843,18885,1.2,232.24773
"50","Insect or Disease","13651_40_41_50",0.020707,"Boreal White Spruce-Fir-Hardwood Forest - Inland",3,0.447058824,212328,13.3,4396.675896
"51","Insect or Disease","13652_41",0.0148872,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",13,0.274509804,13960,0.9,207.825312
"52","Insect or Disease","13653_41",0.0147298,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",7,0.568627451,101681,6.4,1497.7407938
