"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1300756,"Open Water",0,0,255,0,0,1,289281,18.1
"2",13,9042,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,2011,0.1
"3",14,2034,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,452,0
"4",15,4499,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,1001,0.1
"5",16,9324,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,2074,0.1
"6",17,4154,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,924,0.1
"7",22,7261,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,1615,0.1
"8",23,3217,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,715,0
"9",24,1255,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,279,0
"10",25,153000,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,34026,2.1
"11",32,355,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,79,0
"12",63,277,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,62,0
"13",64,10977,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,2441,0.2
"14",65,5211,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,1159,0.1
"15",68,1507,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,335,0
"16",102,3,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,1,0
"17",103,1109,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,247,0
"18",104,979,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,218,0
"19",105,6490,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,1443,0.1
"20",106,18361,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,4083,0.3
"21",107,32364,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,7198,0.4
"22",108,85238,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,18956,1.2
"23",109,76729,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,17064,1.1
"24",110,134538,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,29921,1.9
"25",111,242432,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,53916,3.4
"26",112,419702,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,93339,5.8
"27",113,661424,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,147097,9.2
"28",114,902533,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,200719,12.5
"29",115,971324,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,216017,13.5
"30",116,679415,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,151098,9.4
"31",117,271568,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,60395,3.8
"32",118,396653,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,88214,5.5
"33",119,21405,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,4760,0.3
"34",120,4223,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,939,0.1
"35",121,1348,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,300,0
"36",122,348,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,77,0
"37",123,132,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,29,0
"38",124,145,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,32,0
"39",203,1911,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,425,0
"40",204,91,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,20,0
"41",205,93,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,21,0
"42",206,3826,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,851,0.1
"43",207,2649,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,589,0
"44",208,12274,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,2730,0.2
"45",209,5459,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,1214,0.1
"46",210,8775,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,1952,0.1
